hash,is_malware,pe_header_offset,file_length
000042615eefe19eecaecc78351e7212,1,256,510168
0002c4a5c8dc98f89f10e30931ddfbcf,1,128,74756
001e6f6d5e7a47b63044fa45a58719e7,1,128,728083
001ed33fa77c1c44f9783bc8383a04f7,1,224,110596
0021da2b2892db0e03cfaf332a0286c7,1,128,80900
002965ddac7f87f47e84b19baee3cbbf,1,184,162972
002bce754ad5c2f49759846cd42b0b1b,1,128,156672
009aaafef2d47e54de40936b5ce377e2,1,176,106500
009ea4190cf6ed36bcb791b7bdbe0a97,1,248,904928
00a193f0ef38f9d39e4cdfdde515d998,1,256,394888
00a31e5ca2a271af7181e1edee8e273a,1,128,685777
00ae1e4e7c63adc7cc8c4aa4afae900d,1,240,426174
00c035182e7a0d4699a6c1c6a86e8872,1,232,473052
00c0b748a35a8a762b877e4efb288a77,1,128,717828
00d6004143edf4bf5a8a57fa5bc3c44b,1,200,96815
00d87fe5d6ab779ee23fae0a2e0a0b7b,1,552,89639
00d8f0a74e69194472274c5d430e959e,1,128,197124
00fc45aaf16fe5da00567d4142455bb9,1,128,314884
01021d82ac62d049e7d134d6646fb8a5,1,216,327548
01108bbd9ec65479af8fbbd34cf46637,1,184,770564
011c12887b3a13ff170163b5c8c9a979,1,232,254444
01238d3daa5bc5ece9de1ecd5be0f2a9,1,256,586244
012a277a5bbd46f662299c3c7e5741a3,1,128,253728
012a88253e75fcbc9c3f6be1e499d349,1,248,380932
012f8f75fa2ff58dae327bbc9df3cfa0,1,128,716431
013a6b5ec70c3c1ed7ce99fb03536fa8,1,216,278818
0154ad3068fd359451ab402a94294c3f,1,240,86020
016fd4ad7732df3b911fea47723e7504,1,184,500740
01896364f01e4e3b9d1947ea3c1ab14c,1,280,794860
019e568cf52a4aee9e7462e27d3f1235,1,216,804516
01a7160542249eae55f82476228db3fd,1,128,854768
01aaa72766174700ae03b65f72d61671,1,256,544260
01b436020e6115edcb29d5f2f968101d,1,216,379504
01b71f5d5cd580dd9d246d1c9e120434,1,128,86020
