name,is_malware
000042615eefe19eecaecc78351e7212.vir,1
0002c4a5c8dc98f89f10e30931ddfbcf.vir,1
000b68fe08153d880cd65e35927d0c82.vir,1
0010bbe6454d9620ccaefcc833273ae3.vir,0
001e6f6d5e7a47b63044fa45a58719e7.vir,1
001ed33fa77c1c44f9783bc8383a04f7.vir,1
0021da2b2892db0e03cfaf332a0286c7.vir,1
002965ddac7f87f47e84b19baee3cbbf.vir,1
002bce754ad5c2f49759846cd42b0b1b.vir,1
0031671DE782D46D23E9672AD4382557.vir,0
0032716EA2652D93091A034094B40FEB.vir,0
0034e64cbaf7e40433ec3b8d6a9113c9.vir,1
0044d79041cdb77cb3a32b1851729eb7.vir,1
0066B7BB1F235BE0694A68C514F1AA78.vir,0
006cba85cc17bf67a18aebf635fc28e7.vir,1
007152608de2ab05e234abfac16652ef.vir,1
00725e7ca1bb474c58e7bd5260f68945.vir,1
007ad615fba731e0b1c94c086d254e61.vir,0
009a8df8ca049a147a2dc150f9611c31.vir,1
009aaafef2d47e54de40936b5ce377e2.vir,1
009ea4190cf6ed36bcb791b7bdbe0a97.vir,1
00A0E19C0E1B6AE09757723A6E47B320.vir,0
00a193f0ef38f9d39e4cdfdde515d998.vir,1
00a31e5ca2a271af7181e1edee8e273a.vir,1
00AC866B8F1D1C045ED29C213300E41D.vir,0
00ae1e4e7c63adc7cc8c4aa4afae900d.vir,1
00AEA1ED2E6C6236FABF0EF9E1E2590A.vir,0
00c035182e7a0d4699a6c1c6a86e8872.vir,1
00c0b748a35a8a762b877e4efb288a77.vir,1
00C0F7B26EFABC103DF14CB338AA38C1.vir,0
00d6004143edf4bf5a8a57fa5bc3c44b.vir,1
00d87fe5d6ab779ee23fae0a2e0a0b7b.vir,1
00d8f0a74e69194472274c5d430e959e.vir,1
00df99dda033def6fa758766a6de2847.vir,1
00ef690d3c560b056741ecdf2ef6665b.vir,0
00fc45aaf16fe5da00567d4142455bb9.vir,1
01021d82ac62d049e7d134d6646fb8a5.vir,1
010e0737a09cd445fd26eb5f3103ad19.vir,1
01108bbd9ec65479af8fbbd34cf46637.vir,1
011c12887b3a13ff170163b5c8c9a979.vir,1
011f5f922d756cf8610e1714b7db7c33.vir,0
01238d3daa5bc5ece9de1ecd5be0f2a9.vir,1
0127e7c38d7d77f673379a17ef2b43c5.vir,0
012a277a5bbd46f662299c3c7e5741a3.vir,1
012a88253e75fcbc9c3f6be1e499d349.vir,1
012f8f75fa2ff58dae327bbc9df3cfa0.vir,1
013a6b5ec70c3c1ed7ce99fb03536fa8.vir,1
0154ad3068fd359451ab402a94294c3f.vir,1
0163bdd07b938fc3ee14262dbce468df.vir,1
0164B0D566B7A1D5E5CA5640330EDA0E.vir,0
016fd4ad7732df3b911fea47723e7504.vir,1
0171266EA25609C0519C2167DCC01413.vir,0
01733b069943f95e0b378bd919f59114.vir,1
01896364f01e4e3b9d1947ea3c1ab14c.vir,1
018d64d6ab947d1dc2dc5bbc6d62bb67.vir,1
0199A01D7422909515D2631F51CF8E0B.vir,0
019b1e39569db025cf16dd95bca2c928.vir,0
019e568cf52a4aee9e7462e27d3f1235.vir,1
01a7160542249eae55f82476228db3fd.vir,1
01aaa72766174700ae03b65f72d61671.vir,1
01ac83a9535c1bf9d0d448546060a712.vir,1
01b41ec8cca56a547a5c09c41a9f93e3.vir,1
01b436020e6115edcb29d5f2f968101d.vir,1
01b71f5d5cd580dd9d246d1c9e120434.vir,1
01b97ed9cac24fb7ac670a9a2215d653.vir,1
01be723050a8fd8eae868fe4d66b53d5.vir,1
01d8456087cd0f73e048bf5333d4b97c.vir,0
01d9df45cf896b259e8799a3795c60d6.vir,1
01fcb9f2cb9096ac98967954ebcc82a5.vir,1
0214EEC925389FF7E46C748CAAD0B81B.vir,0
02157eae636fc88f2437cd0695c1e99b.vir,1
021ed9898d5f61013328d57457ee04af.vir,1
022aa60abfe0af8f5e1e2f8089e67537.vir,1
023d37b52a5c7d8f12580690a1113a08.vir,1
025c98a7ac89eefcdb5595efca7bf481.vir,0
026357735ba7f48ba4e1b5719f899de6.vir,1
0266a196cf4d534089b1f4cfc8dbdec9.vir,1
0267155E1FF3ECB6EAF9EEDA71B0CF7E.vir,0
026b8bcf86e9eb169dfa0f16b43a627e.vir,0
026bd32a2dcb5a904bfa0920a377e16b.vir,1
0274C7D7B9F74F51D125310D13253DBC.vir,0
028eac360aed5fd79df4225c0c15a734.vir,1
0293e08813c9f437310b9d12279d8d08.vir,1
029A48024D6C59F0BAF6F34F3495E3AC.vir,0
02a56dff73d1b47b68b54dfdfb7d9fb4.vir,1
02a9ea0a231cc71f5860698012099f64.vir,1
02abbd58a87d159951ec627724b10744.vir,1
02c2a193204380e3ddfed0d39b2ee590.vir,0
02e6504192ef4e26fe1f2203dd0c8193.vir,1
02EA4FFA50AAF21C51F0F2A6EC55C42E.vir,0
02f362bde77264983531856d8d49dd89.vir,1
02F420741F01EBF339CD4B66D8729A2D.vir,0
02f52cdcb11f014d64a09cc62c542ecb.vir,1
02F939A42C98AA045FB1AB0B8B564751.vir,0
02fcfaf3b4ff4dd74ecf033dd4c8368a.vir,1
030a0be00fbdbb765ee4f08e284a5e36.vir,1
030a89b650dc3ede7061b99aa24fe603.vir,1
030b2fb1583929231654b41b44f9ea6f.vir,1
03197ABCB208DD86E307BB8A2536C6BE.vir,0
031ea60469fed9eb731657b6b4964d73.vir,1
03267a96b529cd34ea07dfe472e613a5.vir,1
0327ef74721c593ff5df639c0d175400.vir,1
032ac04d33ec049d12b671e481d5f5ca.vir,1
032fdd7b218a9edc6229253acf5e34c8.vir,1
0334942d6b91786d9321fe51dc085e97.vir,1
0336d6fb066b5adddb91f34060a261bd.vir,1
03427ddb774a43a3bafa14159382ae53.vir,1
0342d6d7949cc37a378e86ce139f3f12.vir,0
0348cb67309391484da24d2fb2649312.vir,1
03683f07c40a2529187bf24ec89e36a5.vir,1
